Title,Author,Average Rating,Total User Ratings
"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness,1.5699999999999996,107349.99999999999
"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",Laurell K. Hamilton,1.65,58058
"Bloody Bones (Anita Blake, Vampire Hunter #5)",Laurell K. Hamilton,1.6299999999999994,56217
"The Killing Dance (Anita Blake, Vampire Hunter, #6)",Laurell K. Hamilton,1.65,54509
"Blue Moon (Anita Blake, Vampire Hunter, #8)",Laurell K. Hamilton,1.5699999999999996,49584
"Beyond the Highland Mist (Highlander, #1)",Karen Marie Moning,1.5199999999999998,50163.99999999999
"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",Laurell K. Hamilton,1.6099999999999999,48738
"River Marked (Mercy Thompson, #6)",Patricia Briggs,1.7899999999999996,56850
"First Grave on the Right (Charley Davidson, #1)",Darynda Jones,1.6,51905
"Existence (Existence Trilogy, #1)",Abbi Glines,1.4800000000000002,47111
"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",Laurell K. Hamilton,1.42,43946
"Lover at Last (Black Dagger Brotherhood, #11)",J.R. Ward,1.8299999999999996,46457
"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,1.9899999999999998,48866
"Kiss of Midnight (Midnight Breed,  #1)",Lara Adrian,1.46,47146
"Magic Burns (Kate Daniels, #2)",Ilona Andrews,1.8599999999999999,49856.99999999999
"Frost Burned (Mercy Thompson, #7)",Patricia Briggs,1.8799999999999994,42581
"Hunting Ground (Alpha & Omega, #2)",Patricia Briggs,1.7999999999999994,42677
"Magic Slays (Kate Daniels, #5)",Ilona Andrews,1.9599999999999995,42831
"This Side of the Grave (Night Huntress, #5)",Jeaniene Frost,1.81,43914
"Some Girls Bite (Chicagoland Vampires, #1)",Chloe Neill,1.5399999999999996,44406
