GenreID,Genre,Alt1,Alt2,Alt3
1,Art,,,
2,Biography,,,
3,Business,,,
4,Chick Lit,,,
5,Children,,,
6,Christian,,,
7,Classics,,,
8,Comics,,,
9,Contemporary,,,
10,Cookbooks,,,
11,Crime,,,
12,Fantasy,,,
13,Fiction,Literature,,
14,Gay and Lesbian,LGBT,,
15,Graphic Novels,Manga,,
16,Historical Fiction,,,
17,History,,,
18,Horror,,,
19,Humor and Comedy,Humor,Comedy,
20,Manga,,,
21,Memoir,,,
22,Music,,,
23,Mystery,,,
24,Non-fiction,Nonfiction,,
25,Paranormal,,,
26,Philosophy,,,
27,Poetry,,,
28,Psychology,,,
29,Religion,,,
30,Romance,,,
31,Science,,,
32,Science Fiction,Sci-Fi,SF,SFF
33,Self Help,,,
34,Suspense,,,
35,Spirituality,,,
36,Sports,,,
37,Thriller,,,
38,Travel,,,
39,Young Adult,YA,,
